21:46:53 | INFO     | OrderManager    | Order #178: BUY 10 AAPL @ 100
21:46:53 | INFO     | OrderManager    | Order #179: BUY 10 AAPL @ 100
21:46:53 | INFO     | OrderManager    | Order #180: BUY 10 AAPL @ 100
21:46:56 | INFO     | OrderManager    | Order #181: BUY 10 AAPL @ 100
21:46:56 | INFO     | OrderManager    | Order #182: BUY 10 AAPL @ 100
21:46:56 | INFO     | OrderManager    | Order #183: BUY 10 AAPL @ 100
21:46:59 | INFO     | OrderManager    | Order #184: BUY 10 AAPL @ 100
21:46:59 | INFO     | OrderManager    | Order #185: BUY 10 AAPL @ 100
21:46:59 | INFO     | OrderManager    | Order #186: BUY 10 AAPL @ 100
21:47:02 | INFO     | OrderManager    | Order #187: BUY 10 AAPL @ 100
21:47:02 | INFO     | OrderManager    | Order #188: BUY 10 AAPL @ 100
21:47:02 | INFO     | OrderManager    | Order #189: BUY 10 AAPL @ 100
21:47:05 | INFO     | OrderManager    | Order #190: BUY 10 AAPL @ 100
21:47:05 | INFO     | OrderManager    | Order #191: BUY 10 AAPL @ 100
21:47:05 | INFO     | OrderManager    | Order #192: BUY 10 AAPL @ 100
21:47:08 | INFO     | OrderManager    | Order #193: BUY 10 AAPL @ 100
21:47:08 | INFO     | OrderManager    | Order #194: BUY 10 AAPL @ 100
21:47:08 | INFO     | OrderManager    | Order #195: BUY 10 AAPL @ 100
21:47:11 | INFO     | OrderManager    | Order #196: BUY 10 AAPL @ 100
21:47:11 | INFO     | OrderManager    | Order #197: BUY 10 AAPL @ 100
21:47:11 | INFO     | OrderManager    | Order #198: BUY 10 AAPL @ 100
21:47:14 | INFO     | OrderManager    | Order #199: BUY 10 AAPL @ 100
21:47:14 | INFO     | OrderManager    | Order #200: BUY 10 AAPL @ 100
21:47:14 | INFO     | OrderManager    | Order #201: BUY 10 AAPL @ 100
21:47:17 | INFO     | OrderManager    | Order #202: BUY 10 AAPL @ 100
21:47:17 | INFO     | OrderManager    | Order #203: BUY 10 AAPL @ 100
21:47:17 | INFO     | OrderManager    | Order #204: BUY 10 AAPL @ 100
21:47:20 | INFO     | OrderManager    | Order #205: BUY 10 AAPL @ 100
21:47:20 | INFO     | OrderManager    | Order #206: BUY 10 AAPL @ 100
21:47:20 | INFO     | OrderManager    | Order #207: BUY 10 AAPL @ 100
21:47:23 | INFO     | OrderManager    | Order #208: BUY 10 AAPL @ 100
21:47:23 | INFO     | OrderManager    | Order #209: BUY 10 AAPL @ 100
21:47:23 | INFO     | OrderManager    | Order #210: BUY 10 AAPL @ 100
21:47:26 | INFO     | OrderManager    | Order #211: BUY 10 AAPL @ 100
21:47:26 | INFO     | OrderManager    | Order #212: BUY 10 AAPL @ 100
21:47:26 | INFO     | OrderManager    | Order #213: BUY 10 AAPL @ 100
21:47:29 | INFO     | OrderManager    | Order #214: BUY 10 AAPL @ 100
21:47:29 | INFO     | OrderManager    | Order #215: BUY 10 AAPL @ 100
21:47:29 | INFO     | OrderManager    | Order #216: BUY 10 AAPL @ 100
21:47:32 | INFO     | OrderManager    | Order #217: BUY 10 AAPL @ 100
21:47:32 | INFO     | OrderManager    | Order #218: BUY 10 AAPL @ 100
21:47:32 | INFO     | OrderManager    | Order #219: BUY 10 AAPL @ 100
21:47:35 | INFO     | OrderManager    | Order #220: BUY 10 AAPL @ 100
21:47:35 | INFO     | OrderManager    | Order #221: BUY 10 AAPL @ 100
21:47:35 | INFO     | OrderManager    | Order #222: BUY 10 AAPL @ 100
21:47:38 | INFO     | OrderManager    | Order #223: BUY 10 AAPL @ 100
21:47:38 | INFO     | OrderManager    | Order #224: BUY 10 AAPL @ 100
21:47:38 | INFO     | OrderManager    | Order #225: BUY 10 AAPL @ 100
21:47:41 | INFO     | OrderManager    | Order #226: BUY 10 AAPL @ 100
21:47:41 | INFO     | OrderManager    | Order #227: BUY 10 AAPL @ 100
21:47:41 | INFO     | OrderManager    | Order #228: BUY 10 AAPL @ 100
21:47:44 | INFO     | OrderManager    | Order #229: BUY 10 AAPL @ 100
21:47:44 | INFO     | OrderManager    | Order #230: BUY 10 AAPL @ 100
21:47:44 | INFO     | OrderManager    | Order #231: BUY 10 AAPL @ 100
21:47:47 | INFO     | OrderManager    | Order #232: BUY 10 AAPL @ 100
21:47:47 | INFO     | OrderManager    | Order #233: BUY 10 AAPL @ 100
21:47:47 | INFO     | OrderManager    | Order #234: BUY 10 AAPL @ 100
21:47:50 | INFO     | OrderManager    | Order #235: BUY 10 AAPL @ 100
21:47:50 | INFO     | OrderManager    | Order #236: BUY 10 AAPL @ 100
21:47:50 | INFO     | OrderManager    | Order #237: BUY 10 AAPL @ 100
21:47:53 | INFO     | OrderManager    | Order #238: BUY 10 AAPL @ 100
21:47:53 | INFO     | OrderManager    | Order #239: BUY 10 AAPL @ 100
21:47:53 | INFO     | OrderManager    | Order #240: BUY 10 AAPL @ 100
21:47:56 | INFO     | OrderManager    | Order #241: BUY 10 AAPL @ 100
21:47:56 | INFO     | OrderManager    | Order #242: BUY 10 AAPL @ 100
21:47:56 | INFO     | OrderManager    | Order #243: BUY 10 AAPL @ 100
21:47:59 | INFO     | OrderManager    | Order #244: BUY 10 AAPL @ 100
